index,data,seed,e,kappa,cl_ml_ratio,ml_sat,ml_unsat,cl_sat,cl_unsat,lambda_minus,lambda_plus,ARI,p1_slvr_status,p1_clause_gen,p1_solver,p1_total,p2_slvr_status,p2_clause_gen,p2_solver,p2_total,total_time,final_slvr_status,total_slvr_time
71,ionosphere,1732,0.1,0.25,5,47,2,38,0,3577,92,0.342174256,SATISFIABLE,0.39012,900.01269,900.46807,OPTIMUM,0.40448,301.43683,302.08073,1202.5488,SATISFIABLE,1201.44952
72,ionosphere,1732,0.1,0.5,1,89,6,73,7,3577,99,0.609583784,SATISFIABLE,0.37103,900.01482,900.46367,OPTIMUM,0.39094,29.1389,29.88567,930.34934,SATISFIABLE,929.15372
73,ionosphere,1732,0.1,0.5,2,91,4,75,5,3577,99,0.702194056,SATISFIABLE,0.3877,900.01474,900.4588,OPTIMUM,0.3851,52.18298,52.80679,953.26559,SATISFIABLE,952.19772
74,ionosphere,1732,0.1,0.5,3,89,6,77,3,3575,12,0.703623411,SATISFIABLE,0.40517,900.01687,900.49062,OPTIMUM,0.41384,55.90555,56.57446,957.06508,SATISFIABLE,955.92242
75,ionosphere,1732,0.1,0.5,5,83,12,77,3,3577,41,0.6104258,SATISFIABLE,0.38714,900.01334,900.47782,OPTIMUM,0.38589,55.60191,56.22845,956.70627,SATISFIABLE,955.61525
76,ionosphere,1732,0.1,0.7,1,121,8,103,13,3577,76,0.610972732,SATISFIABLE,0.37476,900.01475,900.4567,OPTIMUM,0.37961,11.45078,12.08824,912.54494,SATISFIABLE,911.46553
77,ionosphere,1732,0.1,0.7,2,115,14,108,8,3577,15,0.665648778,SATISFIABLE,0.38882,900.01496,900.46355,OPTIMUM,0.4017,34.83993,35.49279,935.95634,SATISFIABLE,934.85489
78,ionosphere,1732,0.1,0.7,3,107,22,110,6,3577,15,0.565873412,SATISFIABLE,0.38979,900.02019,900.48291,OPTIMUM,0.40436,35.82866,36.57674,937.05965,SATISFIABLE,935.84885
79,ionosphere,1732,0.1,0.7,5,107,22,110,6,3577,15,0.557335807,SATISFIABLE,0.37161,900.015,900.47136,OPTIMUM,0.40898,33.38591,34.13595,934.60731,SATISFIABLE,933.40091
80,ionosphere,1732,0.1,1,1,165,11,163,12,3577,99,0.692821175,SATISFIABLE,0.37194,900.01493,900.44473,OPTIMUM,0.42532,10.67121,11.36753,911.81226,SATISFIABLE,910.68614
81,ionosphere,1732,0.1,1,2,161,15,159,16,3577,174,0.713093496,SATISFIABLE,0.38641,900.01414,900.46055,OPTIMUM,0.41074,7.37003,8.05926,908.51981,SATISFIABLE,907.38417
82,ionosphere,1732,0.1,1,3,165,11,155,20,3577,72,0.673236068,SATISFIABLE,0.39251,900.01787,900.49158,OPTIMUM,0.4064,19.32572,20.0156,920.50718,SATISFIABLE,919.34359
83,ionosphere,1732,0.1,1,5,154,22,161,14,3577,174,0.71367715,SATISFIABLE,0.40856,900.01154,900.4846,OPTIMUM,0.40298,2.95613,3.63512,904.11972,SATISFIABLE,902.96767
