data,seed,e,kappa,cl_ml_ratio,pareto_index,ml_sat,ml_unsat,cl_sat,cl_unsat,lm_lambda_minus,lm_lambda_plus,lp_lambda_minus,lp_lambda_plus,ARI,p1_slvr_status,p1_clause_gen,p1_solver,p1_total,p2_lm_slvr_status,p2_lm_clause_gen,p2_lm_solver,p2_lm_total,p2_lp_slvr_status,p2_lp_clause_gen,p2_lp_solver,p2_lp_total,total_slvr_time
glass,2352,0.1,0.7,1,0,33.0,0.0,116.0,0.0,1299,3,1299.0,3.0,0.361514692587204,OPTIMUM,0.34067,94.21517,94.62996,OPTIMUM,0.33168,4621.25361,4621.82158,SATISFIABLE,0.34274,5413.04641,5413.63224,10128.92998
glass,2352,0.1,1.0,1,0,41.0,16.0,154.0,3.0,1474,1,1474.0,1.0,0.191512931483941,SATISFIABLE,0.33986,900.0146,900.44126,SATISFIABLE,0.3339,5411.99652,5412.59305,SATISFIABLE,0.35516,5411.73984,5412.35276,11724.17762
glass,2352,0.1,1.5,1,1,59.0,27.0,225.0,10.0,0,0,,,,SATISFIABLE,0.34895,900.01491,900.45125,UNSATISFIABLE,0.30928,159.19234,159.68077,,,,,1059.64359
glass,2352,0.1,1.75,1,1,55.0,41.0,271.0,7.0,0,0,,,,SATISFIABLE,0.33982,900.01766,900.45321,UNSATISFIABLE,0.31148,73.37913,73.89144,,,,,973.83234
glass,2352,0.1,2.0,1,1,80.0,39.0,278.0,31.0,0,0,,,,SATISFIABLE,0.34522,900.01742,900.44954,UNSATISFIABLE,0.30837,12.99087,13.49254,,,,,913.44041
glass,3556,0.1,0.0,1,11,,,,,0,0,,,,,,,0.0,UNSATISFIABLE,2.43196,0.67315,3.33455,,,,,0.67315
glass,3556,0.1,0.1,1,5,4.0,0.0,17.0,0.0,0,0,,,,OPTIMUM,0.32716,2.93597,3.34939,UNSATISFIABLE,0.33506,3.23636,3.90393,,,,,6.58575
glass,3556,0.1,0.25,1,7,7.0,0.0,46.0,0.0,0,0,,,,OPTIMUM,0.32983,0.50533,0.91344,UNSATISFIABLE,0.36093,0.27977,0.98292,,,,,1.19321
glass,3556,0.1,0.5,1,8,22.0,0.0,85.0,0.0,0,0,,,,OPTIMUM,0.324,24.63973,25.0539,UNSATISFIABLE,0.33325,1.15847,1.82255,,,,,26.21237
glass,3556,0.1,0.7,1,3,31.0,0.0,118.0,0.0,0,0,,,,OPTIMUM,0.33793,52.8242,53.24781,UNSATISFIABLE,0.29621,431.98906,432.50971,,,,,485.23687
glass,3556,0.1,1.0,1,1,43.0,4.0,166.0,1.0,0,0,,,,SATISFIABLE,0.32299,900.01656,900.43022,UNSATISFIABLE,0.30155,234.75215,235.24065,,,,,1135.18237
glass,3556,0.1,1.5,1,1,65.0,13.0,239.0,4.0,0,0,,,,SATISFIABLE,0.34562,900.01583,900.46658,UNSATISFIABLE,0.3029,60.97488,61.47139,,,,,961.44146
glass,3556,0.1,1.75,1,1,81.0,12.0,274.0,7.0,0,0,,,,SATISFIABLE,0.33278,900.01693,900.43674,UNSATISFIABLE,0.30541,24.57031,25.05826,,,,,925.00705
glass,3556,0.1,2.0,1,1,77.0,29.0,307.0,15.0,0,0,,,,SATISFIABLE,0.34458,900.01316,900.44695,UNSATISFIABLE,0.30574,0.24487,0.7507,,,,,900.69182
ionosphere,1732,0.1,0.0,1,3,,,,,0,0,,,,,,,0.0,UNSATISFIABLE,4.22204,0.67203,5.14102,,,,,0.67203
ionosphere,1732,0.1,0.1,1,1,23.0,0.0,12.0,0.0,0,0,,,,OPTIMUM,0.36284,0.42445,0.86486,UNSATISFIABLE,0.38286,0.36445,0.96185,,,,,1.22931
ionosphere,1732,0.1,0.25,1,1,49.0,0.0,36.0,2.0,0,0,,,,SATISFIABLE,0.37637,900.01672,900.47211,UNSATISFIABLE,0.38822,8.10825,8.7479,,,,,908.58036
ionosphere,1732,0.1,0.5,1,1,86.0,9.0,70.0,10.0,0,0,,,,SATISFIABLE,0.36823,900.01321,900.46441,UNSATISFIABLE,0.38093,5.05989,5.68491,,,,,905.5243
ionosphere,1732,0.1,0.7,1,1,121.0,8.0,103.0,13.0,0,0,,,,SATISFIABLE,0.36488,900.01542,900.47553,UNSATISFIABLE,0.38381,11.99805,12.63675,,,,,912.47358
ionosphere,1732,0.1,1.0,1,1,165.0,11.0,153.0,22.0,0,0,,,,SATISFIABLE,0.36884,900.01579,900.4705,UNSATISFIABLE,0.38654,5.92284,6.56536,,,,,906.39334
ionosphere,1732,0.1,1.5,1,1,261.0,21.0,201.0,43.0,0,0,,,,SATISFIABLE,0.36192,900.01358,900.46539,UNSATISFIABLE,0.37984,8.66908,9.34356,,,,,909.13447
ionosphere,1732,0.1,1.75,1,1,309.0,23.0,254.0,28.0,0,0,,,,SATISFIABLE,0.36413,900.01603,900.47025,UNSATISFIABLE,0.38091,7.44792,8.10703,,,,,907.91817
ionosphere,1732,0.1,2.0,1,1,353.0,30.0,281.0,38.0,0,0,,,,SATISFIABLE,0.37685,900.01303,900.4796,UNSATISFIABLE,0.3782,0.37408,1.03969,,,,,900.85368
ionosphere,2352,0.1,0.0,1,3,,,,,0,0,,,,,,,0.0,UNSATISFIABLE,4.22204,0.67203,5.14102,,,,,0.67203
ionosphere,2352,0.1,0.1,1,7,15.0,0.0,20.0,0.0,0,0,,,,OPTIMUM,0.35904,6.56323,6.99921,UNSATISFIABLE,0.37893,4.56464,5.51278,,,,,11.56385
ionosphere,2352,0.1,0.25,1,0,49.0,1.0,37.0,0.0,3576,2,3576.0,2.0,0.347255056474915,SATISFIABLE,0.36037,900.01172,900.4513,SATISFIABLE,0.40921,5411.46232,5412.11541,SATISFIABLE,0.45188,5411.40069,5412.09885,11723.31431
ionosphere,2352,0.1,0.5,1,1,95.0,6.0,65.0,9.0,0,0,,,,SATISFIABLE,0.36157,900.01237,900.46126,UNSATISFIABLE,0.38996,48.30049,48.93277,,,,,948.76175
ionosphere,2352,0.1,0.7,1,1,129.0,10.0,97.0,9.0,0,0,,,,SATISFIABLE,0.36486,900.0166,900.46483,UNSATISFIABLE,0.38483,18.40884,19.04727,,,,,918.87367
ionosphere,2352,0.1,1.0,1,1,188.0,11.0,126.0,26.0,0,0,,,,SATISFIABLE,0.37552,900.01248,900.47464,UNSATISFIABLE,0.3776,15.65817,16.29743,,,,,916.13281
ionosphere,2352,0.1,1.5,1,1,256.0,27.0,215.0,28.0,0,0,,,,SATISFIABLE,0.36685,900.01466,900.46828,UNSATISFIABLE,0.39878,4.04716,4.74732,,,,,904.51544
ionosphere,2352,0.1,1.75,1,1,303.0,22.0,251.0,38.0,0,0,,,,SATISFIABLE,0.37796,900.01284,900.4827,UNSATISFIABLE,0.38317,8.01107,8.67942,,,,,908.49377
ionosphere,2352,0.1,2.0,1,1,336.0,38.0,275.0,53.0,0,0,,,,SATISFIABLE,0.37059,900.01533,900.48403,UNSATISFIABLE,0.37698,5.60183,6.27605,,,,,906.08586
ionosphere,3556,0.1,0.0,1,3,,,,,0,0,,,,,,,0.0,UNSATISFIABLE,4.22204,0.67203,5.14102,,,,,0.67203
ionosphere,3556,0.1,0.1,1,5,22.0,0.0,13.0,0.0,0,0,,,,OPTIMUM,0.36337,9.58273,10.02988,UNSATISFIABLE,0.37626,8.40819,9.05344,,,,,18.43807
ionosphere,3556,0.1,0.25,1,3,54.0,0.0,33.0,0.0,0,0,,,,OPTIMUM,0.36861,32.24788,32.69451,UNSATISFIABLE,0.38016,32.51616,33.14898,,,,,65.21067
ionosphere,3556,0.1,0.5,1,1,105.0,4.0,62.0,4.0,0,0,,,,SATISFIABLE,0.36623,900.01246,900.46772,UNSATISFIABLE,0.37598,0.38829,1.03751,,,,,900.85601
ionosphere,3556,0.1,0.7,1,1,146.0,8.0,84.0,7.0,0,0,,,,SATISFIABLE,0.36764,900.01662,900.47708,UNSATISFIABLE,0.40936,8.54805,9.2304,,,,,909.02513
ionosphere,3556,0.1,1.0,1,1,190.0,15.0,127.0,19.0,0,0,,,,SATISFIABLE,0.38044,900.01333,900.47895,UNSATISFIABLE,0.38421,0.38618,1.05045,,,,,900.86513
ionosphere,3556,0.1,1.5,1,1,270.0,26.0,206.0,24.0,0,0,,,,SATISFIABLE,0.3819,900.01552,900.49193,UNSATISFIABLE,0.39716,3.03474,3.71952,,,,,903.52667
ionosphere,3556,0.1,1.75,1,1,313.0,29.0,228.0,44.0,0,0,,,,SATISFIABLE,0.36548,900.01349,900.47795,UNSATISFIABLE,0.38747,2.58122,3.26538,,,,,903.05917
ionosphere,3556,0.1,2.0,1,1,360.0,33.0,248.0,61.0,0,0,,,,SATISFIABLE,0.3692,900.01598,900.48474,UNSATISFIABLE,0.38078,0.36661,1.06351,,,,,900.85135
iris,1732,0.1,0.0,1,7,,,,,0,0,,,,,,,0.0,UNSATISFIABLE,0.74255,0.1647,0.97046,,,,,0.1647
iris,1732,0.1,0.1,1,1,4.0,0.0,11.0,0.0,0,0,,,,OPTIMUM,0.05558,0.10028,0.1722,UNSATISFIABLE,0.06646,0.0842,0.78826,,,,,0.2563999999999999
iris,1732,0.1,0.25,1,1,14.0,0.0,23.0,0.0,0,0,,,,OPTIMUM,0.05526,0.05815,0.13029,UNSATISFIABLE,0.06681,0.07466,0.60177,,,,,0.20495
iris,1732,0.1,0.5,1,1,29.0,0.0,46.0,0.0,0,0,,,,OPTIMUM,0.05462,0.07229,0.14817,UNSATISFIABLE,0.06639,0.10931,0.44069,,,,,0.25748
iris,1732,0.1,0.7,1,1,37.0,0.0,68.0,0.0,0,0,,,,OPTIMUM,0.05544,0.11154,0.18287,UNSATISFIABLE,0.06767,0.07075,0.39445,,,,,0.25362
iris,1732,0.1,1.0,1,2,54.0,0.0,96.0,0.0,0,0,,,,OPTIMUM,0.05711,0.18421,0.25528,UNSATISFIABLE,0.06815,0.06697,0.36061,,,,,0.32225
iris,1732,0.1,1.5,1,1,77.0,0.0,148.0,0.0,0,0,,,,OPTIMUM,0.05576,0.07803,0.14794,UNSATISFIABLE,0.06477,0.07062,0.32886,,,,,0.2185599999999999
iris,1732,0.1,1.75,1,1,88.0,0.0,174.0,0.0,0,0,,,,OPTIMUM,0.05875,0.0786,0.15496,UNSATISFIABLE,0.0941,0.06447,0.34225,,,,,0.21943
iris,1732,0.1,2.0,1,1,108.0,0.0,192.0,0.0,0,0,,,,OPTIMUM,0.05593,0.06773,0.13713,UNSATISFIABLE,0.0963,0.06666,0.30007,,,,,0.20379
iris,2352,0.1,0.0,1,7,,,,,0,0,,,,,,,0.0,UNSATISFIABLE,0.74255,0.1647,0.97046,,,,,0.1647
iris,2352,0.1,0.1,1,1,6.0,0.0,9.0,0.0,0,0,,,,OPTIMUM,0.05672,0.11027,0.18201,UNSATISFIABLE,0.06884,0.09484,0.71986,,,,,0.27685
iris,2352,0.1,0.25,1,1,16.0,0.0,21.0,0.0,0,0,,,,OPTIMUM,0.05557,0.07635,0.1476,UNSATISFIABLE,0.06511,0.07483,0.58248,,,,,0.22243
iris,2352,0.1,0.5,1,1,31.0,0.0,44.0,0.0,0,0,,,,OPTIMUM,0.05425,0.07108,0.13878,UNSATISFIABLE,0.06544,0.06912,0.33052,,,,,0.2078999999999999
iris,2352,0.1,0.7,1,1,39.0,0.0,66.0,0.0,0,0,,,,OPTIMUM,0.05485,0.15058,0.22035,UNSATISFIABLE,0.065,0.07435,0.33179,,,,,0.2946999999999999
iris,2352,0.1,1.0,1,1,59.0,0.0,91.0,0.0,0,0,,,,OPTIMUM,0.05655,0.15969,0.22947,UNSATISFIABLE,0.06409,0.06416,0.30568,,,,,0.29363
iris,2352,0.1,1.5,1,1,89.0,0.0,136.0,0.0,0,0,,,,OPTIMUM,0.05902,0.13921,0.21143,UNSATISFIABLE,0.09533,0.06797,0.29651,,,,,0.2794
iris,2352,0.1,1.75,1,1,101.0,0.0,161.0,0.0,0,0,,,,OPTIMUM,0.05668,0.08375,0.16335,UNSATISFIABLE,0.09496,0.07725,0.29641,,,,,0.2405999999999999
iris,2352,0.1,2.0,1,1,114.0,0.0,186.0,0.0,0,0,,,,OPTIMUM,0.05674,0.07787,0.14804,UNSATISFIABLE,0.0953,0.06323,0.28479,,,,,0.21127
iris,3556,0.1,0.0,1,7,,,,,0,0,,,,,,,0.0,UNSATISFIABLE,0.74255,0.1647,0.97046,,,,,0.1647
